word1,word2,word3,interaction_info,abs_interaction_info
locus,magnus,nomen,0.1919493067616866,0.1919493067616866
locus,pars,dies,0.19194325369648688,0.19194325369648688
locus,manus,credo,0.1918499365588328,0.1918499365588328
uolo,primus,uis,0.19167236836377055,0.19167236836377055
uenio,ago,uis,0.19163581693231643,0.19163581693231643
magnus,ago,bonus,0.19152353032715638,0.19152353032715638
dies,uenio,uir,0.1914939815134004,0.1914939815134004
deus,unus,primus,0.19139856069558117,0.19139856069558117
nomen,uir,totus,0.19138487187350534,0.19138487187350534
magnus,pars,primus,0.19138215563958103,0.19138215563958103
unus,uenio,credo,0.19133106723085463,0.19133106723085463
magnus,nomen,primus,0.19126192173842999,0.19126192173842999
locus,nomen,terra,0.19111801508748263,0.19111801508748263
ago,manus,credo,0.1910751313457167,0.1910751313457167
dies,uenio,bonus,0.19081212398876898,0.19081212398876898
dies,manus,bonus,0.1908076589548216,0.1908076589548216
uerbum,ago,uis,0.19065362862967494,0.19065362862967494
locus,magnus,dies,0.1904935616678801,0.1904935616678801
uenio,terra,manus,0.19040369971761262,0.19040369971761262
unus,primus,terra,0.19033188174839116,0.19033188174839116
dies,pater,ago,0.19025347255039515,0.19025347255039515
unus,nomen,credo,0.19025236391567102,0.19025236391567102
tempus,primus,terra,0.19020011121803743,0.19020011121803743
dies,uir,primus,0.19011045823386508,0.19011045823386508
unus,uolo,magnus,0.19003982636980132,0.19003982636980132
uolo,magnus,uis,0.1900202992618323,0.1900202992618323
primus,ago,populus,0.1899982495032537,0.1899982495032537
tempus,totus,manus,0.18997538290542715,0.18997538290542715
pars,primus,totus,0.18991117573135258,0.18991117573135258
unus,primus,populus,0.1899035799832987,0.1899035799832987
unus,uolo,tempus,0.18986070398221244,0.18986070398221244
magnus,ago,terra,0.18982848467330143,0.18982848467330143
locus,pars,tempus,0.18980840346433137,0.18980840346433137
uolo,ago,totus,0.18971594379730983,0.18971594379730983
locus,uerbum,ago,0.18965159993768294,0.18965159993768294
uenio,uir,manus,0.18956994628293267,0.18956994628293267
locus,manus,uis,0.18955079746833475,0.18955079746833475
locus,magnus,uis,0.18949463104900108,0.18949463104900108
tempus,primus,credo,0.18940385874919727,0.18940385874919727
magnus,manus,uis,0.18932347708304287,0.18932347708304287
dies,tempus,uir,0.18921233253727449,0.18921233253727449
